Serial Number	Online	Offline	Availability
EGM0002091878	286	2	99
EGM0002091562	284	4	98
EGM0002091868	287	1	99
EGM0002091843	288	0	100
EGM0002091724	288	0	100
EGM0002091789	288	0	100
EGM0002091907	287	1	99
EGM0002091625	288	0	100
EGM0002091691	288	0	100
EGM0002091646	288	0	100
EGM0002091793	287	1	99
EGM0002091772	288	0	100
EGM0002091661	288	0	100
EGM0002091879	287	1	99
EGM0002091822	286	2	99
EGM0002091815	287	1	99
EGM0002091586	285	3	98
EGM0002091521	287	1	99
EGM0002091709	288	0	100
EGM0002091666	288	0	100
EGM0002091553	283	5	98
EGM0002091936	286	2	99
EGM0002091532	287	1	99
EGM0002091870	288	0	100
EGM0002091591	286	2	99
EGM0002091830	288	0	100
EGM0002091669	287	1	99
EGM0002091557	287	1	99
EGM0002091962	287	1	99
EGM0002091575	286	2	99
EGM0002091730	288	0	100
EGM0002091596	288	0	100
EGM0002091990	287	1	99
EGM0002091587	286	2	99
EGM0002091821	287	1	99
EGM0002091939	288	0	100
EGM0002091535	285	3	98
EGM0002091602	287	1	99
EGM0002091702	288	0	100
EGM0002091560	288	0	100
EGM0002091849	287	1	99
EGM0002091794	287	1	99
EGM0002091767	288	0	100
EGM0002091970	288	0	100
EGM0002091866	288	0	100
EGM0002091917	285	3	98
EGM0002091838	287	1	99
EGM0002091588	287	1	99
EGM0002091679	287	1	99
EGM0002091583	287	1	99
EGM0002091743	284	4	98
EGM0002091959	287	1	99
EGM0002091688	288	0	100
EGM0002091776	285	3	98
EGM0002091799	288	0	100
EGM0002091862	287	1	99
EGM0002091971	288	0	100
EGM0002091703	288	0	100
EGM0002091610	287	1	99
EGM0002091728	288	0	100
EGM0002091872	288	0	100
EGM0002091755	286	2	99
EGM0002091832	288	0	100
EGM0002091565	287	1	99
EGM0002091608	286	2	99
EGM0002091589	288	0	100
EGM0002091812	288	0	100
EGM0002091856	288	0	100
EGM0002091601	286	2	99
EGM0002091549	288	0	100
EGM0002091847	287	1	99
EGM0002091541	288	0	100
EGM0002091801	288	0	100
EGM0002091790	287	1	99
EGM0002091707	288	0	100
EGM0002091747	288	0	100
EGM0002091670	288	0	100
EGM0002091935	287	1	99
EGM0002091708	288	0	100
EGM0002091711	287	1	99
EGM0002091737	288	0	100
EGM0002091574	287	1	99
EGM0002091782	287	1	99
EGM0002091949	288	0	100
EGM0002091774	287	1	99
EGM0002091678	286	2	99
EGM0002091613	285	3	98
EGM0002091576	284	4	98
EGM0002091593	288	0	100
EGM0002091590	288	0	100
EGM0002091695	287	1	99
EGM0002091622	285	3	98
EGM0002091653	288	0	100
EGM0002091579	285	3	98
EGM0002091864	288	0	100
EGM0002091787	287	1	99
EGM0002091546	287	1	99
EGM0002091674	285	3	98
EGM0002091706	288	0	100
EGM0002091739	288	0	100
EGM0002091887	287	1	99
EGM0002091656	286	2	99
EGM0002091896	288	0	100
EGM0002091829	288	0	100
EGM0002091813	286	2	99
EGM0002091999	288	0	100
EGM0002091748	288	0	100
EGM0002091642	284	4	98
EGM0002091682	286	2	99
EGM0002091760	285	3	98
EGM0002091876	288	0	100
EGM0002091744	288	0	100
EGM0002091854	288	0	100
EGM0002091773	286	2	99
EGM0002091784	288	0	100
EGM0002091965	288	0	100
EGM0002091881	286	2	99
EGM0002091763	287	1	99
EGM0002091594	287	1	99
EGM0002091698	286	2	99
EGM0002091899	288	0	100
EGM0002091745	287	1	99
EGM0002091867	286	2	99
EGM0002091538	285	3	98
EGM0002091757	287	1	99
EGM0002091658	288	0	100
EGM0002091925	287	1	99
EGM0002091690	285	3	98
EGM0002091640	287	1	99
EGM0002091572	287	1	99
EGM0002091842	284	4	98
EGM0002091539	286	2	99
EGM0002091548	288	0	100
EGM0002091649	288	0	100
EGM0002091551	287	1	99
EGM0002091685	286	2	99
EGM0002091814	287	1	99
EGM0002091725	284	4	98
EGM0002091701	288	0	100
EGM0002091966	286	2	99
EGM0002091716	283	5	98
EGM0002091873	286	2	99
EGM0002091520	286	2	99
EGM0002091719	287	1	99
EGM0002091733	285	3	98
EGM0002091515	287	1	99
EGM0002091650	285	3	98
EGM0002091885	283	5	98
EGM0002091554	287	1	99
EGM0002091556	283	5	98
EGM0002091916	281	7	97
EGM0002091740	288	0	100
EGM0002091895	288	0	100
EGM0002091860	288	0	100
EGM0002091883	288	0	100
EGM0002092000	288	0	100
EGM0002091571	288	0	100
EGM0002091710	284	4	98
EGM0002091874	287	1	99
EGM0002092013	288	0	100
EGM0002091998	283	5	98
EGM0002092017	288	0	100
EGM0002092007	165	123	57
EGM0002091961	288	0	100
EGM0002091997	288	0	100
EGM0002092011	288	0	100
EGM0002092001	287	1	99
EGM0002092016	288	0	100
EGM0002091982	116	172	40
EGM0002091996	226	62	78
EGM0002092015	288	0	100
EGM0002092006	187	101	64
EGM0002092009	288	0	100
EGM0002092008	288	0	100
EGM0002091993	287	1	99
EGM0002092003	171	117	59
EGM0002092014	213	75	73
EGM0002092019	148	140	51
EGM0002091750	74	214	25
EGM0002091573	92	196	31
EGM0002091634	26	262	9
EGM0002091828	11	277	3
EGM0002091779	92	196	31
EGM0002091742	92	196	31
EGM0002091564	92	196	31
EGM0002091514	92	196	31
EGM0002091910	92	196	31
EGM0002091606	103	185	35
EGM0002091726	84	204	29
EGM0002091749	82	206	28
EGM0002091552	91	197	31
EGM0002091804	91	197	31
EGM0002091595	37	251	12
EGM0002091523	30	258	10
EGM0002091836	79	209	27
EGM0002091582	2	286	0
EGM0002091559	6	282	2
EGM0002091951	87	201	30
EGM0002091633	73	215	25
EGM0002091712	79	209	27
EGM0002091746	79	209	27
EGM0002091684	76	212	26
EGM0002091718	1	287	0
EGM0002091837	15	273	5
EGM0002091946	58	230	20
EGM0002091617	61	227	21
EGM0002091644	41	247	14
EGM0002091621	78	210	27
EGM0002091555	73	215	25
EGM0002091627	72	216	25
EGM0002091581	56	232	19
EGM0002091859	20	268	6
EGM0002092020	170	118	59
EGM0002091777	52	236	18
EGM0002091717	52	236	18
EGM0002091931	287	1	99
EGM0002091927	286	2	99
EGM0002091783	35	253	12
EGM0002091738	285	3	98
EGM0002091628	7	281	2
EGM0002091807	5	283	1
EGM0002091863	11	277	3
EGM0002091584	22	266	7
EGM0002091639	21	267	7
EGM0002091629	8	280	2
EGM0002092021	219	69	76
EGM0002091994	4	284	1
